term.id,term.name,causesExcretaMassLoss,cfc11EqEgalitarianStratosphericOzoneDepletionReCiPe2016,cfc11EqHierarchistStratosphericOzoneDepletionReCiPe2016,cfc11EqIndividualistStratosphericOzoneDepletionReCiPe2016,co2EqGwp100ExcludingClimate-CarbonFeedbacksIpcc2013,co2EqGwp100IncludingClimate-CarbonFeedbacksIpcc2013,co2EqGwp100Ipcc2021,dalyAllEffects100YearsClimateChangeDamageToHumanHealthLCImpact,dalyAllEffects100YearsStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyAllEffectsInfiniteClimateChangeDamageToHumanHealthLCImpact,dalyAllEffectsInfiniteStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyCertainEffects100YearsClimateChangeDamageToHumanHealthLCImpact,dalyCertainEffects100YearsStratosphericOzoneDepletionDamageToHumanHealthLCImpact,dalyCertainEffectsInfiniteClimateChangeDamageToHumanHealthLCImpact,dalyCertainEffectsInfiniteStratosphericOzoneDepletionDamageToHumanHealthLCImpact,inHestiaDefaultSystemBoundary,inputProductionGroupId,inputTermTypesAllowed,lsrgAccountingCategory,lsrgAccountingSubCategory,nEqEgalitarianMarineEutrophicationReCiPe2016,nEqHierarchistMarineEutrophicationReCiPe2016,nEqIndividualistMarineEutrophicationReCiPe2016,noxEqEgalitarianEcosystemDamageOzoneFormationReCiPe2016,noxEqEgalitarianHumanDamageOzoneFormationReCiPe2016,noxEqHierarchistEcosystemDamageOzoneFormationReCiPe2016,noxEqHierarchistHumanDamageOzoneFormationReCiPe2016,noxEqIndividualistEcosystemDamageOzoneFormationReCiPe2016,noxEqIndividualistHumanDamageOzoneFormationReCiPe2016,noxeqEutrophicationIncludingFateAverageEuropeCml2001Non-Baseline,ozoneDepletionPotential,pEqEgalitarianFreshwaterEutrophicationReCiPe2016,pEqHierarchistFreshwaterEutrophicationReCiPe2016,pEqIndividualistFreshwaterEutrophicationReCiPe2016,pdfYearsAllEffects100YearsClimateChangeDamageToFreshwaterEcosystemsLCImpact,pdfYearsAllEffects100YearsClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsAllEffectsInfiniteClimateChangeDamageToFreshwaterEcosystemsLCImpact,pdfYearsAllEffectsInfiniteClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsCertainEffects100YearsClimateChangeDamageToTerrestrialEcosystemsLCImpact,pdfYearsCertainEffectsInfiniteClimateChangeDamageToTerrestrialEcosystemsLCImpact,pm2-5EqEgalitarianFineParticulateMatterFormationReCiPe2016,pm2-5EqHierarchistFineParticulateMatterFormationReCiPe2016,pm2-5EqIndividualistFineParticulateMatterFormationReCiPe2016,po4-EqEutrophicationExcludingFateCml2001Baseline,productTermIdsAllowed,productTermTypesAllowed,scope,siteTypesAllowed,so2EqEgalitarianTerrestrialAcidificationReCiPe2016,so2EqHierarchistTerrestrialAcidificationReCiPe2016,so2EqIndividualistTerrestrialAcidificationReCiPe2016,so2EqTerrestrialAcidificationExcludingFateCml2001Non-Baseline,so2EqTerrestrialAcidificationIncludingFateAverageEuropeCml2001Baseline,typesAllowed,valueToleranceToHestiaRecalculatedValue
1Chloro11DifluoroethaneToAirIndustrialProcesses,"1-Chloro-1,1-Difluoroethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,1Chloro11DifluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.057,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
1Chloro11DifluoroethaneToAirInputsProduction,"1-Chloro-1,1-Difluoroethane, to air, inputs production",false,,,,,,,,,,,,,,,false,1Chloro11DifluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.057,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
11Dichloro1FluoroethaneToAirIndustrialProcesses,"1,1-Dichloro-1-Fluoroethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,11Dichloro1FluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.102,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
11Dichloro1FluoroethaneToAirInputsProduction,"1,1-Dichloro-1-Fluoroethane, to air, inputs production",false,,,,,,,,,,,,,,,false,11Dichloro1FluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.102,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
11DichlorotetrafluoroethaneToAirIndustrialProcesses,"1,1-Dichlorotetrafluoroethane, to air, industrial processes",false,0.58,0.27,0.165,8590,9615,9430,0.0121,6.3e-05,0.0437,0.00078,0.00368,0.000143,0.0133,0.000343,false,11DichlorotetrafluoroethaneToAirInputsProduction,all,Emissions (non-land),Process emissions,,,,,,,,,,,,,,,4.7e-12,1.51e-11,1.7e-11,5.47e-11,1.51e-11,5.47e-11,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
11DichlorotetrafluoroethaneToAirInputsProduction,"1,1-Dichlorotetrafluoroethane, to air, inputs production",false,0.58,0.27,0.165,8590,9615,9430,0.0121,6.3e-05,0.0437,0.00078,0.00368,0.000143,0.0133,0.000343,true,11DichlorotetrafluoroethaneToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,,,,,4.7e-12,1.51e-11,1.7e-11,5.47e-11,1.51e-11,5.47e-11,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
1112TetrafluoroethaneToAirIndustrialProcesses,"1,1,1,2-Tetrafluoroethane, to air, industrial processes",false,,,,1300,1549,1530,0.00183,,0.00272,,0.000556,,0.000829,,false,1112TetrafluoroethaneToAirInputsProduction,all,Emissions (non-land),Process emissions,,,,,,,,,,,,,,,7.11e-13,2.29e-12,1.06e-12,3.41e-12,2.29e-12,3.41e-12,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
1112TetrafluoroethaneToAirInputsProduction,"1,1,1,2-Tetrafluoroethane, to air, inputs production",false,,,,1300,1549,1530,0.00183,,0.00272,,0.000556,,0.000829,,false,1112TetrafluoroethaneToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,,,,,7.11e-13,2.29e-12,1.06e-12,3.41e-12,2.29e-12,3.41e-12,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
112TrichloroethaneToAirIndustrialProcesses,"1,1,2-Trichloroethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,112TrichloroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
112TrichloroethaneToAirInputsProduction,"1,1,2-Trichloroethane, to air, inputs production",false,,,,,,,,,,,,,,,false,112TrichloroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
112TrichlorotrifluoroethaneToAirIndustrialProcesses,"1,1,2-Trichlorotrifluoroethane, to air, industrial processes",false,0.85,0.664,0.504,5820,6586,6520,0.00818,0.000155,0.0176,0.00114,0.00249,0.000353,0.00537,0.000502,false,112TrichlorotrifluoroethaneToAirInputsProduction,all,Emissions (non-land),Process emissions,,,,,,,,,,,0.81,,,,3.18e-12,1.02e-11,6.87e-12,2.21e-11,1.02e-11,2.21e-11,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
112TrichlorotrifluoroethaneToAirInputsProduction,"1,1,2-Trichlorotrifluoroethane, to air, inputs production",false,0.85,0.664,0.504,5820,6586,6520,0.00818,0.000155,0.0176,0.00114,0.00249,0.000353,0.00537,0.000502,true,112TrichlorotrifluoroethaneToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,0.81,,,,3.18e-12,1.02e-11,6.87e-12,2.21e-11,1.02e-11,2.21e-11,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
12DibromotetrafluoroethaneToAirIndustrialProcesses,"1,2-Dibromotetrafluoroethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,12DibromotetrafluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
12DibromotetrafluoroethaneToAirInputsProduction,"1,2-Dibromotetrafluoroethane, to air, inputs production",false,,,,,,,,,,,,,,,false,12DibromotetrafluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
13Dichloro11223PentafluoropropaneToAirIndustrialProcesses,"1,3-Dichloro-1,1,2,2,3-Pentafluoropropane, to air, industrial processes",false,,,,,,,,,,,,,,,false,13Dichloro11223PentafluoropropaneToAirInputsProduction,all,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
13Dichloro11223PentafluoropropaneToAirInputsProduction,"1,3-Dichloro-1,1,2,2,3-Pentafluoropropane, to air, inputs production",false,,,,,,,,,,,,,,,false,13Dichloro11223PentafluoropropaneToAirInputsProduction,all,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
22Dichloro111TrifluoroethaneToAirIndustrialProcesses,"2,2-Dichloro-1,1,1-Trifluoroethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,22Dichloro111TrifluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
22Dichloro111TrifluoroethaneToAirInputsProduction,"2,2-Dichloro-1,1,1-Trifluoroethane, to air, inputs production",false,,,,,,,,,,,,,,,false,22Dichloro111TrifluoroethaneToAirInputsProduction,all,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
33Dichloro11122PentafluoropropaneToAirIndustrialProcesses,"3,3-Dichloro-1,1,1,2,2-Pentafluoropropane, to air, industrial processes",false,,,,,,,,,,,,,,,false,33Dichloro11122PentafluoropropaneToAirInputsProduction,all,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
33Dichloro11122PentafluoropropaneToAirInputsProduction,"3,3-Dichloro-1,1,1,2,2-Pentafluoropropane, to air, inputs production",false,,,,,,,,,,,,,,,false,33Dichloro11122PentafluoropropaneToAirInputsProduction,all,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
blackCarbonToAirFuelCombustion,"Black carbon, to air, fuel combustion",false,,,,,,,,,,,,,,,false,blackCarbonToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 1,all,,,,,,Cycle;Transformation;Transport,5
blackCarbonToAirIndustrialProcesses,"Black carbon, to air, industrial processes",false,,,,,,,,,,,,,,,false,blackCarbonToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle;Transformation;Transport,5
blackCarbonToAirInputsProduction,"Black carbon, to air, inputs production",false,,,,,,,,,,,,,,,false,blackCarbonToAirInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
bod5ToWaterIndustrialProcesses,"BOD5, to water, industrial processes",false,,,,,,,,,,,,,,,false,bod5ToWaterInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,all,all,Scope 1,agri-food processor,,,,,,Cycle;Transformation,5
bod5ToWaterInputsProduction,"BOD5, to water, inputs production",false,,,,,,,,,,,,,,,false,bod5ToWaterInputsProduction,all,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
bromochlorodifluoromethaneToAirIndustrialProcesses,"Bromochlorodifluoromethane, to air, industrial processes",false,7.9,8.777,15.053,1750,2070,1930,0.00246,0.00205,0.00367,0.0106,0.000749,0.00466,0.00112,0.00467,true,bromochlorodifluoromethaneToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,6.9,,,,9.57e-13,3.08e-12,1.43e-12,4.6e-12,3.08e-12,4.6e-12,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
bromochlorodifluoromethaneToAirInputsProduction,"Bromochlorodifluoromethane, to air, inputs production",false,7.9,8.777,15.053,1750,2070,1930,0.00246,0.00205,0.00367,0.0106,0.000749,0.00466,0.00112,0.00467,true,bromochlorodifluoromethaneToAirInputsProduction,all,Emissions (non-land),,,,,,,,,,,,6.9,,,,9.57e-13,3.08e-12,1.43e-12,4.6e-12,3.08e-12,4.6e-12,,,,,all,all,Scope 2/3,all,,,,,,Cycle;Transformation;Transport,5
bromomethaneToAirIndustrialProcesses,"Bromomethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,bromomethaneToAirInputsProduction,all,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
bromomethaneToAirInputsProduction,"Bromomethane, to air, inputs production",false,,,,,,,,,,,,,,,false,bromomethaneToAirInputsProduction,all,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
bromodifluoromethaneToAirIndustrialProcesses,"Bromodifluoromethane, to air, industrial processes",false,,,,,,,,,,,,,,,false,bromodifluoromethaneToAirInputsProduction,all,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
bromodifluoromethaneToAirInputsProduction,"Bromodifluoromethane, to air, inputs production",false,,,,,,,,,,,,,,,false,bromodifluoromethaneToAirInputsProduction,all,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
bromofluoroformToAirIndustrialProcesses,"Bromofluoroform, to air, industrial processes",false,,,,,,,,,,,,,,,false,bromofluoroformToAirInputsProduction,all,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
bromofluoroformToAirInputsProduction,"Bromofluoroform, to air, inputs production",false,,,,,,,,,,,,,,,false,bromofluoroformToAirInputsProduction,all,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
carbonTetrachlorideToAirIndustrialProcesses,"Carbon tetrachloride, to air, industrial processes",false,,,,,,,,,,,,,,,false,carbonTetrachlorideToAirInputsProduction,all,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,all,all,Scope 2/3,agri-food processor,,,,,,Cycle,5
carbonTetrachlorideToAirInputsProduction,"Carbon tetrachloride, to air, inputs production",false,,,,,,,,,,,,,,,false,carbonTetrachlorideToAirInputsProduction,all,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,all,all,Scope 2/3,all,,,,,,Cycle,5
ch4ToAirAquacultureSystems,"CH4, to air, aquaculture systems",false,,,,28,34,27.9,3.94e-05,,5.96e-05,,1.2e-05,,1.82e-05,,true,ch4ToAirInputsProductionNonFossil,all,Emissions (land),Land management non-CO2 emissions,,,,,,,,,,,,,,,1.53e-14,4.93e-14,2.32e-14,7.47e-14,4.93e-14,7.47e-14,,,,,all,liveAquaticSpecies,Scope 1,pond;river or stream;lake;sea or ocean,,,,,,Cycle,5
ch4ToAirCropResidueBurning,"CH4, to air, crop residue burning",false,,,,28,34,27.9,3.94e-05,,5.96e-05,,1.2e-05,,1.82e-05,,true,ch4ToAirInputsProductionNonFossil,all,Emissions (land),Land management non-CO2 emissions,,,,,,,,,,,,,,,1.53e-14,4.93e-14,2.32e-14,7.47e-14,4.93e-14,7.47e-14,,,,,all,all,Scope 1,cropland;glass or high accessible cover,,,,,,Cycle,5
ch4ToAirCropResidueDecomposition,"CH4, to air, crop residue decomposition",false,,,,28,34,27.9,3.94e-05,,5.96e-05,,1.2e-05,,1.82e-05,,false,ch4ToAirInputsProductionNonFossil,all,Emissions (land),Land management non-CO2 emissions,,,,,,,,,,,,,,,1.53e-14,4.93e-14,2.32e-14,7.47e-14,4.93e-14,7.47e-14,,,,,all,all,Scope 1,cropland;glass or high accessible cover,,,,,,Cycle,5
