term.id,-,term.name,term.units,term.synonyms,term.definition,term.subClassOf.0.id,term.pubchem,term.casNumber,term.wikipedia,term.agrovoc,term.hsCode,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.min,lookups.0.max,lookups.0.source,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.min,lookups.1.max,lookups.1.source,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.min,lookups.2.max,lookups.2.source,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.min,lookups.3.max,lookups.3.source,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.source,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState,lookups.12.name,lookups.12.value,lookups.12.dataState,lookups.13.name,lookups.13.value,lookups.13.dataState,lookups.14.name,lookups.14.value,lookups.14.dataState,lookups.15.name,lookups.15.value,lookups.15.min,lookups.15.max,lookups.15.source,lookups.15.proxy.id,lookups.15.notes,lookups.15.dataState,lookups.16.name,lookups.16.value,lookups.16.min,lookups.16.max,lookups.16.source,lookups.16.proxy.id,lookups.16.notes,lookups.16.dataState,lookups.17.name,lookups.17.value,lookups.17.dataState,lookups.18.name,lookups.18.value,lookups.18.dataState,lookups.19.name,lookups.19.value,lookups.19.dataState,lookups.20.name,lookups.20.value,lookups.20.dataState,lookups.21.name,lookups.21.value,lookups.21.dataState,-,-,-,-,-,-
inorganicNitrogenFertiliserUnspecifiedKgN,"inorganic Nitrogen Fertiliser, Unspecified Kg N","Inorganic Nitrogen fertiliser, unspecified (kg N)",kg N,"Nitrogen; N; Nitrogen Fertiliser; Nitrogen Fertilizer; Inorganic Nitrogen fertilizer, unspecified (kg N)",-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_19dbe72d,3102.50,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,3102,complete,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.09,0.02,0.28,"Calculated from IPCC (2019) Chapter 11, Table 7A.1, Table 7A.2, and Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,IPCC_2019_FRACGASF_NOx-N,0.01,0.00,0.04,"Calculated from IPCC (2019) Chapter 11, Table 7A.1, Table 7A.2, and Table 7A.3, with min and max calculated from Table 11.3",-,-,complete,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
inorganicPhosphorusFertiliserUnspecifiedKgP2O5,"inorganic Phosphorus Fertiliser, Unspecified Kg P2O5","Inorganic Phosphorus fertiliser, unspecified (kg P2O5)",kg P2O5,"Phosphorus; P; Phosphorus Fertiliser; Phosphorus Fertilizer; Inorganic Phosphorus fertilizer, unspecified (kg P2O5)",-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_5800 ,3103.10,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,3103,complete,ecoinventMapping,"phosphate fertiliser, as P2O5, market for phosphate fertiliser, as P2O5: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,phosphateRockKgP2O5;tripleSuperPhosphateKgP2O5;calciumMetaphosphateKgP2O5,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
inorganicPotassiumFertiliserUnspecifiedKgK2O,"inorganic Potassium Fertiliser, Unspecified Kg K2O","Inorganic Potassium fertiliser, unspecified (kg K2O)",kg K2O,"Potassium; K; Potassium Fertiliser; Potassium Fertilizer; Inorganic Potassium fertilizer, unspecified (kg K2O)",-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_6138,3104.90,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,3104,complete,ecoinventMapping,"potassium fertiliser, as K2O, market for potassium fertiliser, as K2O: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,potassiumChlorideKgK2O;potassiumSulphateKgK2O;potassiumCarbonateKgK2O,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
inorganicIronFertiliserUnspecifiedKgFe,"inorganic Iron Fertiliser, Unspecified Kg Fe","Inorganic Iron fertiliser, unspecified (kg Fe)",kg Fe,Iron; Fe,-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_3950,-,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,,missing,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
inorganicSulphurFertiliserUnspecifiedKgS,"inorganic Sulphur Fertiliser, Unspecified Kg S","Inorganic Sulphur fertiliser, unspecified (kg S)",kg S,"Sulfur; S; Inorganic Sulphur fertilizer, unspecified (kg S)",-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_27917,-,,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"sulfur, market for sulfur: 1",requires validation,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
inorganicMagnesiumFertiliserUnspecifiedKgMg,"inorganic Magnesium Fertiliser, Unspecified Kg Mg","Inorganic Magnesium fertiliser, unspecified (kg Mg)",kg Mg,"Mg; Inorganic Magnesium fertilizer, unspecified (kg Mg)",-,-,-,-,-,http://aims.fao.org/aos/agrovoc/c_27904,-,https://glossary.ecoinvent.org/ids/1d344632-354d-4d3f-9f6c-da038a3bd491,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,,missing,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
carbonDioxideFertiliser,carbon Dioxide Fertiliser,Carbon dioxide (fertiliser),kg CO2,CO2 fertiliser; Carbon dioxide fertilizer; CO2 fertilizer,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/280,124-38-9,https://en.wikipedia.org/wiki/Carbon_dioxide,-,-,https://glossary.ecoinvent.org/ids/ef644ee9-9e11-4442-9c96-a29f8528dde7,nitrogenContent,-,-,-,-,not required,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,,missing,NH3_emissions_factor_acidic,-,not required,NH3_emissions_factor_basic,-,not required,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,-,-,-,-,-,-,not required,IPCC_2019_FRACGASF_NOx-N,-,-,-,-,-,-,not required,fertGroupingNitrogen,-,not required,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,-,not required,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,-,-,-,-,-,-
ammoniumBicarbonateKgN,ammonium Bicarbonate Kg N,Ammonium Bicarbonate (kg N),kg N,(NH4)HCO3; Salt of Hartshorn; sal volatile; salt of hartshorn; ABC,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/14013,1066-33-7,https://en.wikipedia.org/wiki/Ammonium_bicarbonate,-,-,,nitrogenContent,15.5,-,-,-,complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium bicarbonate, market for ammonium bicarbonate: 6.45",requires validation,NH3_emissions_factor_acidic,cool:0.155;temperate:0.159;warm:0.198,complete,NH3_emissions_factor_basic,cool:0.164;temperate:0.168;warm:0.21,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,Urea_UAS_Amm_Bicarb,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.155,0.159,0.198,0.164,0.168,0.21
ammoniumChlorideKgN,ammonium Chloride Kg N,Ammonium Chloride (kg N),kg N,NH4Cl; Sal ammoniac; AC,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/25517,12125-02-9,https://en.wikipedia.org/wiki/Ammonium_chloride,http://aims.fao.org/aos/agrovoc/c_350,2827.10,,nitrogenContent,25,-,-,-,complete,phosphateContentAsP2O5,-,-,-,-,not required,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,-,not required,fclCode,,missing,ecoinventMapping,"ammonium chloride, market for ammonium chloride: 4",requires validation,NH3_emissions_factor_acidic,cool:0.01;temperate:0.014;warm:0.013,complete,NH3_emissions_factor_basic,cool:0.019;temperate:0.02;warm:0.025,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.095,0.0,0.1,-,ammoniumSulphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,ammoniumSulphateKgN,-,complete,fertGroupingNitrogen,AN_NP_KN_NPK,complete,nebraskaExtensionFertiliserCode,-,not required,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.01,0.014,0.013,0.019,0.02,0.025
ammoniumMetaphosphateKgN,ammonium Metaphosphate Kg N,Ammonium Metaphosphate (kg N),kg N,Ammonium metaphosfate,-,-,https://pubchem.ncbi.nlm.nih.gov/compound/Ammonium-metaphosphate,13446-46-3,-,-,-,,nitrogenContent,12,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,phosphateContentAsP2O5,51,-,-,Nebraska Extension glossary (https://nda.nebraska.gov/plant/fertilizer/fertilizer_codes.pdf),complete,potassiumContentAsK2O,-,-,-,-,not required,sulphurContent,-,-,-,-,not required,magnesiumContent,-,not required,calciumOxideContent,-,not required,zincContent,-,-,not required,boronContent,-,not required,manganeseContent,-,not required,complementaryTermIds,ammoniumMetaphosphateKgP2O5,complete,fclCode,,missing,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,NH3_emissions_factor_acidic,cool:0.05;temperate:0.051;warm:0.064,complete,NH3_emissions_factor_basic,cool:0.091;temperate:0.094;warm:0.117,complete,CO2_urea_emissions_factor,-,not required,IPCC_2019_FRACGASF_NH3-N,0.053,0.0,0.0,-,monoammoniumPhosphateKgN,-,complete,IPCC_2019_FRACGASF_NOx-N,0.007,0.0,0.0,-,monoammoniumPhosphateKgN,-,complete,fertGroupingNitrogen,AN_NP_KN_NPK,complete,nebraskaExtensionFertiliserCode,201,complete,sensitivityAlternativeTerms,ureaKgN;ammoniumNitrateKgN;ammoniumChlorideKgN,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,0.05,0.051,0.064,0.091,0.094,0.117
