term.id,-,term.name,term.units,term.synonyms,term.definition,term.subClassOf.0.id,term.hsCode,term.wikipedia,term.agrovoc,term.defaultProperties.0.term.id,term.defaultProperties.0.value,term.defaultProperties.0.description,term.defaultProperties.1.term.id,term.defaultProperties.1.value,term.defaultProperties.1.description,term.defaultProperties.2.term.id,term.defaultProperties.2.value,term.defaultProperties.2.description,term.defaultProperties.2.min,term.defaultProperties.2.max,term.defaultProperties.3.term.id,term.defaultProperties.3.value,term.defaultProperties.3.sd,term.defaultProperties.3.description,term.defaultProperties.3.min,term.defaultProperties.3.max,term.ecoinventReferenceProductId,lookups.0.name,lookups.0.value,lookups.0.dataState,lookups.1.name,lookups.1.value,lookups.1.dataState,lookups.2.name,lookups.2.value,lookups.2.dataState,lookups.3.name,lookups.3.value,lookups.3.source,lookups.3.dataState,lookups.4.name,lookups.4.value,lookups.4.source,lookups.4.dataState,lookups.5.name,lookups.5.value,lookups.5.source,lookups.5.dataState,lookups.6.name,lookups.6.value,lookups.6.source,lookups.6.dataState,lookups.7.name,lookups.7.value,lookups.7.dataState,lookups.8.name,lookups.8.value,lookups.8.dataState,lookups.9.name,lookups.9.value,lookups.9.dataState,lookups.10.name,lookups.10.value,lookups.10.dataState,lookups.11.name,lookups.11.value,lookups.11.dataState,lookups.12.name,lookups.12.value,lookups.12.dataState,lookups.13.name,lookups.13.value,lookups.13.dataState,lookups.14.name,lookups.14.value,lookups.14.dataState,lookups.15.name,lookups.15.value,lookups.15.dataState,lookups.16.name,lookups.16.value,lookups.16.dataState
anthracite,anthracite,Anthracite,kg,Hard coal; Coal,-,-,2701.11,https://en.wikipedia.org/wiki/Anthracite,-,density,785,-,energyContentLowerHeatingValue,28.9,https://www.engineeringtoolbox.com/,energyContentHigherHeatingValue,32.6,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,110,complete,cpcVersion2Code,11010,complete,ecoinventMapping,"nitrogen fertiliser, as N, market for nitrogen fertiliser, as N: 1",requires validation,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.42,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.42,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.42,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,0.03,complete,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,0.03,complete,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
cokingCoal,coking Coal,Coking coal,kg,-,-,-,2701.19,https://en.wikipedia.org/wiki/Coke_(fuel),-,density,745,-,-,-,-,energyContentHigherHeatingValue,26,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,121,complete,cpcVersion2Code,11010,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.57,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.57,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.57,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
otherBituminousCoal,other Bituminous Coal,Other bituminous coal,kg,-,-,-,2701.12,-,-,density,745,-,-,-,-,energyContentHigherHeatingValue,30.2,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,129,complete,cpcVersion2Code,11010,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.66,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.66,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.66,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
subBituminousCoal,sub-Bituminous Coal,Sub-bituminous coal,kg,-,-,-,2702.1,https://en.wikipedia.org/wiki/Sub-bituminous_coal,-,-,-,-,-,-,-,energyContentHigherHeatingValue,24.4,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,210,complete,cpcVersion2Code,11030,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.53,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.53,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.53,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
lignite,lignite,Lignite,kg,Brown coal,-,-,2702.1,https://en.wikipedia.org/wiki/Lignite,http://aims.fao.org/aos/agrovoc/c_32489 ,density,730,-,-,-,-,energyContentHigherHeatingValue,14,https://www.engineeringtoolbox.com/,-,-,-,-,-,-,-,-,-,sicCode,220,complete,cpcVersion2Code,11030,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqIndividualistFossilResourceScarcityReCiPe2016,0.22,complete,oilEqEgalitarianFossilResourceScarcityReCiPe2016,0.22,complete,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,0.03,complete,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
cokeOvenCoke,coke Oven Coke,Coke oven coke,kg,-,-,-,2704,https://en.wikipedia.org/wiki/Coke_(fuel) ,-,density,437.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,311,complete,cpcVersion2Code,33100,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
gasCoke,gas Coke,Gas coke,kg,-,-,-,2704,https://en.wikipedia.org/wiki/Coke_(fuel) ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,312,complete,cpcVersion2Code,33100,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
cokeBreeze,coke Breeze,Coke breeze,kg,-,-,-,2704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,313,complete,cpcVersion2Code,33100,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
semiCokes,semi Cokes,Semi cokes,kg,-,-,-,2704,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://glossary.ecoinvent.org/ids/18e1cfa1-498b-4d93-bace-44cd2ae12596,sicCode,314,complete,cpcVersion2Code,33100,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
patentFuel,patent Fuel,Patent fuel,kg,-,-,-,2701.2,https://en.wikipedia.org/wiki/Patent_Fuel ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,sicCode,320,complete,cpcVersion2Code,11020,complete,ecoinventMapping,,missing,co2ToAirFuelCombustionEmepEea2019,,-,missing,n2oToAirFuelCombustionEmepEea2019,,-,missing,noxToAirFuelCombustionEmepEea2019,,-,missing,so2ToAirFuelCombustionEmepEea2019,,,missing,oilEqHierarchistFossilResourceScarcityReCiPe2016,-,not required,oilEqIndividualistFossilResourceScarcityReCiPe2016,-,not required,oilEqEgalitarianFossilResourceScarcityReCiPe2016,-,not required,usd2013HierarchistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013IndividualistDamageToResourceAvailabilityReCiPe2016,-,not required,usd2013EgalitarianDamageToResourceAvailabilityReCiPe2016,-,not required,sensitivityAlternativeTerms,anthracite;lignite;subBituminousCoal,complete,skipAggregation,TRUE,complete,generateImpactAssessment,FALSE,complete,abioticResourceDepletionFossilFuelsCml2001Baseline,TRUE,complete
